"","rank","Team","matches","point","rating"
"1","1","India","29","3434","118"
"2","2","Australia","30","3534","118"
"3","3","England","43","4941","115"
"4","4","South Africa","21","2182","104"
"5","5","New Zealand","23","2291","100"
"6","6","Pakistan","25","2304","92"
"7","7","Sri Lanka","27","2123","79"
"8","8","West Indies","28","2154","77"
"9","9","Bangladesh","19","873","46"
"10","10","Zimbabwe","7","223","32"
"11","1","India","52","6290","121"
"12","2","Australia","38","4318","114"
"13","3","South Africa","32","3550","111"
"14","4","Pakistan","35","3874","111"
"15","5","New Zealand","41","4189","102"
"16","6","England","36","3509","97"
"17","7","Sri Lanka","46","4082","89"
"18","8","Bangladesh","43","3772","88"
"19","9","Afghanistan","28","2408","86"
"20","10","West Indies","38","2582","68"
"21","11","Zimbabwe","30","1641","55"
"22","12","Scotland","33","1662","50"
"23","13","Ireland","25","1083","43"
"24","14","Netherlands","35","1445","41"
"25","15","Nepal","42","1446","34"
"26","16","Namibia","28","813","29"
"27","17","USA","31","808","26"
"28","18","Oman","24","525","22"
"29","19","United Arab Emirates","41","617","15"
"30","1","India","59","15589","264"
"31","2","England","43","11133","259"
"32","3","New Zealand","53","13534","255"
"33","4","Pakistan","50","12719","254"
"34","5","Australia","32","7984","250"
"35","6","South Africa","35","8679","248"
"36","7","West Indies","39","9463","243"
"37","8","Sri Lanka","37","8774","237"
"38","9","Bangladesh","41","9192","224"
"39","10","Afghanistan","29","6260","216"
"40","11","Zimbabwe","36","7087","197"
"41","12","Ireland","44","8487","193"
"42","13","Namibia","17","3228","190"
"43","14","Scotland","18","3412","190"
"44","15","Netherlands","19","3445","181"
"45","16","Nepal","15","2679","179"
"46","17","United Arab Emirates","26","4591","177"
"47","18","Papua New Guinea","22","3173","144"
"48","19","Canada","13","1871","144"
"49","20","Oman","19","2723","143"
"50","21","Hong Kong","19","2530","133"
"51","22","USA","9","1183","131"
"52","23","Uganda","54","7043","130"
"53","24","Jersey","19","2427","128"
"54","25","Malaysia","36","4537","126"
"55","26","Qatar","13","1568","121"
"56","27","Kuwait","20","2388","119"
"57","28","Bahrain","32","3518","110"
"58","29","Kenya","30","3137","105"
"59","30","Italy","17","1712","101"
"60","31","Tanzania","43","4286","100"
"61","32","Bermuda","9","862","96"
"62","33","Spain","18","1649","92"
"63","34","Germany","33","3022","92"
"64","35","Saudi Arabia","15","1313","88"
"65","36","Singapore","24","1910","80"
"66","37","Guernsey","16","1212","76"
"67","38","Cayman Islands","7","521","74"
"68","39","Portugal","16","1167","73"
"69","40","Denmark","23","1622","71"
"70","41","Belgium","18","1237","69"
"71","42","Nigeria","15","1026","68"
"72","43","Isle of Man","15","949","63"
"73","44","Austria","29","1682","58"
"74","45","Norway","15","852","57"
"75","46","Vanuatu","15","846","56"
"76","47","Botswana","24","1300","54"
"77","48","Finland","18","953","53"
"78","49","Switzerland","16","835","52"
"79","50","Japan","14","726","52"
"80","51","Malawi","14","682","49"
"81","53","France","16","730","46"
"82","54","Sweden","18","759","42"
"83","55","Romania","28","1149","41"
"84","56","Cook Islands","6","245","41"
"85","57","Indonesia","10","372","37"
"86","58","Mozambique","21","759","36"
"87","59","Sierra Leone","12","421","35"
"88","60","Malta","44","1535","35"
"89","61","Ghana","16","516","32"
"90","62","Rwanda","50","1531","31"
"91","63","Argentina","9","274","30"
"92","64","Fiji","10","304","30"
"93","65","Bhutan","11","325","30"
"94","66","Luxembourg","28","819","29"
"95","67","Cyprus","8","206","26"
"96","68","Philippines","11","281","26"
"97","69","Bahamas","10","241","24"
"98","70","Panama","7","160","23"
"99","71","Belize","3","66","22"
"100","72","Serbia","17","351","21"
"101","73","Hungary","19","367","19"
"102","74","Thailand","12","194","16"
"103","75","Bulgaria","30","289","10"
"104","76","Lesotho","9","82","9"
"105","77","Gibraltar","24","191","8"
"106","78","Maldives","10","73","7"
"107","79","Gambia","7","50","7"
"108","81","Cameroon","11","0","0"
"109","82","Estonia","9","0","0"
"110","83","Eswatini","18","0","0"
"111","84","Seychelles","7","0","0"
"112","85","Samoa","9","0","0"
"113","86","Greece","6","0","0"
"114","87","Croatia","10","0","0"
